iso3,country,year,Track,GovEff,RuleLaw,RegQual,CPI,CtrlCorr,GII,RD,ECI,EduIdx,LifeExpIdx,GDPpcPPP,ResRents,ODA,PolStab,FSI,P1,P2,P3,P4,P5,v1_raw,v1_MScore,P1_GPA,P2_GPA,P3_GPA,P4_GPA,P5_GPA,v2_GPA,pillar_spread,config_profile,gap_count,gaps_noted
NAM,Namibia,2004,2,53.3799,57.2797,57.4965,,47.6352,,,-0.2280,0.5265,0.4950,6479.7637,0.7945,2.6206,73.7954,,0.5395,0.5924,0.5108,0.7793,0.7380,0.6148,0.3074,2.3941,1.6828,0.8216,1.9489,2.6404,2.0101,0.1202,P4>P5>P2>P1>P3,1,RD
ALB,Albania,2004,2,42.5915,48.1099,50.3228,,32.5637,,,-0.1220,0.6186,0.8608,5594.7916,0.8688,3.9723,55.5005,,0.4340,0.6114,0.7397,0.7487,0.5550,0.6145,0.3067,1.5931,1.7655,2.6529,1.8367,1.1232,1.7780,0.1321,P4>P3>P2>P5>P1,1,RD
BRA,Brazil,2004,2,47.1185,51.9366,55.4374,,45.7463,,0.9634,0.7410,0.6104,0.7902,10525.7114,2.5350,0.0274,62.1395,,0.5006,0.4586,0.7003,0.8359,0.6214,0.6092,0.2926,2.1297,2.9694,2.1370,2.3966,1.7340,2.2682,0.1527,P4>P3>P5>P1>P2,0,
CUB,Cuba,2004,2,40.0541,37.4246,28.7858,,43.6397,,0.6023,-0.1800,0.7475,0.8819,,2.7060,0.2649,71.0059,,0.3748,0.3475,0.8147,0.9663,0.7101,0.6078,0.2888,1.0779,1.9511,3.1901,2.1196,2.4039,1.9781,0.2728,P4>P3>P5>P1>P2,1,GDPpcPPP
MEX,Mexico,2004,2,46.6086,53.8342,60.9370,,38.6213,,0.3705,0.9340,0.5948,0.8220,12658.1647,4.1950,0.0167,63.2659,,0.5000,0.4292,0.7084,0.8346,0.6327,0.6042,0.2792,2.0991,2.3533,2.3246,2.3846,1.7931,2.2024,0.1619,P4>P3>P5>P1>P2,0,
ROU,Romania,2004,2,45.0780,54.3819,53.0443,,41.2117,,0.3894,0.6610,0.6982,0.7861,8989.3178,2.4271,,66.4062,,0.4843,0.4062,0.7422,0.8290,0.6641,0.6032,0.2768,2.0127,2.2704,2.4277,2.5533,2.1084,2.2613,0.1765,P4>P3>P5>P1>P2,1,ODA
PAN,Panama,2004,2,48.7060,56.7476,58.6831,,39.6845,,0.2252,0.3260,0.6403,0.8438,9591.6029,0.1601,0.2199,67.6050,,0.5096,0.3632,0.7420,0.8438,0.6761,0.6030,0.2760,2.1933,1.6383,2.6521,2.6152,2.2069,2.2919,0.1911,P4>P3>P5>P1>P2,0,
ARG,Argentina,2004,2,50.8770,45.5973,44.2793,,39.6472,,0.4038,0.5380,0.7864,0.8442,12117.6797,4.2952,0.0665,60.2837,,0.4510,0.3963,0.8153,0.8308,0.6028,0.6013,0.2717,1.5932,2.1735,3.1708,2.3157,1.5369,2.0841,0.2009,P4>P3>P5>P1>P2,0,
ZAF,South Africa,2004,2,60.4824,59.2475,64.9081,,52.3227,,0.7268,0.6580,0.6232,0.5225,9713.6535,4.7796,0.2511,65.6266,,0.5924,0.4325,0.5728,0.8131,0.6563,0.5990,0.2657,2.7206,2.6538,1.3525,2.0911,2.0099,2.2793,0.1383,P4>P5>P1>P3>P2,0,
TTO,Trinidad and Tobago,2004,2,57.1626,59.8817,64.7826,,51.1453,,0.1144,0.0540,0.6491,0.7674,20673.7458,10.8323,-0.0118,64.8555,,0.5824,0.3300,0.7083,0.8161,0.6486,0.5978,0.2625,2.6748,1.2809,2.1957,2.6268,1.9507,2.2903,0.1820,P4>P3>P5>P1>P2,0,
BWA,Botswana,2004,2,61.2415,68.5613,66.2332,,66.9709,,0.5329,-0.7390,0.5938,0.5165,10818.1587,3.2240,0.5827,81.3841,,0.6575,0.2919,0.5552,0.8235,0.8138,0.5945,0.2535,3.0994,1.5518,1.1522,2.1070,3.3695,2.4314,0.2190,P4>P5>P1>P3>P2,0,
DOM,Dominican Republic,2004,2,35.8335,46.0779,48.2186,,33.3098,,,-0.4900,0.5584,0.7805,7374.8123,1.2141,0.5077,58.1534,,0.4086,0.5454,0.6694,0.8184,0.5815,0.5942,0.2529,1.3022,1.3517,1.8346,2.1353,1.3596,1.5837,0.1520,P4>P3>P5>P2>P1,1,RD
TUN,Tunisia,2004,2,56.7130,54.2078,53.4120,,44.7216,,0.7309,0.1800,0.5584,0.8234,7671.8454,3.0450,1.1156,65.2998,,0.5226,0.3900,0.6909,0.7981,0.6530,0.5912,0.2450,2.2893,2.3363,2.2038,1.8736,1.9704,2.1714,0.1580,P4>P3>P5>P1>P2,0,
TUR,Turkiye,2004,2,52.9190,59.3325,54.3676,,44.5260,,0.4971,0.4740,0.5316,0.8188,10759.3363,0.2580,0.0714,54.3134,,0.5279,0.3979,0.6752,0.8515,0.5431,0.5911,0.2446,2.3228,2.2005,2.0442,2.6746,1.0049,2.1426,0.1719,P4>P3>P5>P1>P2,0,
THA,Thailand,2004,2,54.5949,56.2123,59.7023,,38.9959,,0.2383,0.6290,0.5768,0.8015,9545.3381,2.3938,0.0314,55.6581,,0.5238,0.3914,0.6891,0.8318,0.5566,0.5886,0.2380,2.2437,1.9276,2.0372,2.3572,1.1626,2.0354,0.1680,P4>P3>P5>P1>P2,0,
BLR,Belarus,2004,2,26.8415,43.9873,35.6916,,40.8238,,0.6276,0.9380,0.7676,0.7490,8482.9202,1.7915,0.1917,66.1808,,0.3684,0.4498,0.7583,0.8270,0.6618,0.5878,0.2358,0.9203,2.7370,2.5410,2.2559,2.0887,1.9154,0.1974,P4>P3>P5>P2>P1,0,
JOR,Jordan,2004,2,52.3082,58.8274,60.5835,,49.2234,,0.3369,0.3090,0.6286,0.8121,7073.8458,0.1276,5.1742,60.0976,,0.5524,0.3705,0.7204,0.7457,0.6010,0.5840,0.2258,2.4542,1.8984,2.4223,2.0434,1.5172,2.1582,0.1505,P4>P3>P5>P1>P2,0,
UKR,Ukraine,2004,2,36.0693,43.7756,47.8331,,25.3392,,1.0439,0.9480,0.7704,0.7303,6663.4673,3.3541,0.4745,56.3679,,0.3825,0.4835,0.7503,0.7995,0.5637,0.5828,0.2227,1.0877,3.1069,2.4600,1.9159,1.1823,1.8018,0.1764,P4>P3>P5>P2>P1,0,
CHN,China,2004,2,44.4416,44.5441,49.8162,,34.9186,,1.1973,0.9310,0.5276,0.8266,4504.9294,4.7249,0.0864,58.2173,,0.4343,0.4941,0.6771,0.7766,0.5822,0.5811,0.2179,1.5746,3.1752,2.0841,1.8404,1.3990,1.9370,0.1377,P4>P3>P5>P2>P1,0,
IDN,Indonesia,2004,2,36.5108,43.7128,46.9476,,24.2889,,,0.1860,0.5494,0.7003,5700.0495,9.1208,0.0398,37.5933,,0.3787,0.6667,0.6249,0.7602,0.3759,0.5759,0.2043,1.0424,2.2345,1.4966,1.8020,0.2365,1.3273,0.1749,P4>P2>P3>P1>P5,1,RD
KWT,Kuwait,2004,2,53.8217,65.6079,59.7493,,56.1067,,0.1301,0.1690,0.5853,0.8675,77226.6368,46.8825,,69.1020,,0.5882,0.3416,0.7264,0.6435,0.6910,0.5755,0.2033,2.6885,1.3773,2.4711,2.4671,2.3251,2.3815,0.1525,P3>P5>P4>P1>P2,1,ODA
SWZ,Eswatini,2004,2,29.3731,44.4114,43.0773,,41.7152,,,0.3980,0.4363,0.3678,5309.6051,2.3699,0.8079,60.9371,,0.3964,0.7047,0.4021,0.7887,0.6094,0.5744,0.2002,1.1614,2.4276,0.5074,1.8831,1.5961,1.4722,0.1770,P4>P2>P5>P3>P1,1,RD
RUS,Russian Federation,2004,2,38.1293,43.3395,52.4371,,29.8077,,1.1513,1.1680,0.8028,0.6946,10226.7666,16.4102,,45.2370,,0.4093,0.5117,0.7487,0.7424,0.4524,0.5737,0.1984,1.3397,3.3409,2.4262,2.1588,0.5320,1.8617,0.1618,P3>P4>P2>P5>P1,1,ODA
MNE,Montenegro,2004,2,53.7517,59.6104,49.1557,,42.5022,,1.0187,,0.7013,0.8366,7841.4438,0.2552,0.9233,78.3527,,0.5125,0.1597,0.7690,0.8210,0.7835,0.5644,0.1738,2.1963,2.9041,2.8360,2.2663,3.0936,2.5844,0.2794,P4>P5>P3>P1>P2,1,ECI
ARM,Armenia,2004,2,47.5367,52.7126,57.7716,,34.2492,,0.2566,0.4780,0.6519,0.7989,4377.2276,0.0217,6.8758,62.1107,,0.4807,0.3793,0.7254,0.6933,0.6211,0.5608,0.1643,1.9587,1.8307,2.4030,1.8606,1.7143,1.9715,0.1465,P3>P4>P5>P1>P2,0,
SRB,Serbia,2004,2,45.8533,44.1405,44.4559,,35.5098,,0.2819,0.6090,0.6537,0.8133,8715.1102,1.7538,4.3550,55.4956,,0.4249,0.3930,0.7335,0.7593,0.5550,0.5585,0.1582,1.3883,2.0645,2.5681,1.8227,1.1034,1.7337,0.1696,P4>P3>P5>P1>P2,0,
SYC,Seychelles,2004,2,56.7421,64.8374,48.3600,,52.3003,,0.3257,,,0.7955,14160.4072,0.0656,1.1776,74.0420,,0.5556,0.0504,0.7955,0.8485,0.7404,0.5544,0.1471,2.4462,1.3699,2.2769,2.5708,2.6798,2.3444,0.3255,P4>P3>P5>P1>P2,2,EduIdx; ECI
JAM,Jamaica,2004,2,50.0391,53.1958,57.8961,,41.1902,,0.0610,-0.5640,0.5845,0.7930,7853.8642,1.8869,0.9044,60.0841,,0.5058,0.2704,0.6887,0.8106,0.6008,0.5540,0.1461,2.1645,0.8399,1.9983,2.0060,1.4975,1.8224,0.2041,P4>P3>P5>P1>P2,0,
GEO,Georgia,2004,2,37.1210,47.7428,46.8845,,46.8677,,0.2442,0.4730,0.7764,0.7848,4634.7776,0.8095,6.0434,50.4009,,0.4465,0.3779,0.7806,0.7049,0.5040,0.5536,0.1451,1.6181,1.7620,2.7072,1.6590,0.8473,1.7150,0.1723,P3>P4>P5>P1>P2,0,
MKD,North Macedonia,2004,2,47.3549,51.5544,52.8824,,37.9046,,0.2324,0.0170,0.5900,0.8223,7229.4143,0.5299,4.6747,52.4028,,0.4742,0.3360,0.7062,0.7525,0.5240,0.5467,0.1267,1.8935,1.4313,2.2896,1.9265,0.9261,1.7583,0.1712,P4>P3>P5>P1>P2,0,
GAB,Gabon,2004,2,29.9744,49.1197,45.0053,,29.7156,,,-0.6720,0.5501,0.6568,13637.6668,27.4568,0.6089,65.7081,,0.3845,0.5127,0.6035,0.6735,0.6571,0.5454,0.1233,1.0740,1.1586,1.3130,1.6967,2.0493,1.4163,0.1194,P4>P5>P3>P2>P1,1,RD
LKA,Sri Lanka,2004,2,42.3733,59.6002,54.0492,,46.7314,,0.1821,-0.4790,0.7027,0.7388,5215.8802,0.1475,1.9961,46.0752,,0.5069,0.2876,0.7208,0.7828,0.4608,0.5454,0.1233,2.1969,1.0595,2.2524,2.0825,0.5911,1.7774,0.2013,P4>P3>P1>P5>P2,0,
BIH,Bosnia and Herzegovina,2004,2,36.1002,48.9828,48.6634,,38.9768,,0.0159,0.5930,0.5538,0.8691,5407.4278,1.7062,6.4355,61.0817,,0.4318,0.3706,0.7114,0.7003,0.6108,0.5440,0.1197,1.5021,1.3930,2.4012,1.6001,1.6355,1.6855,0.1560,P3>P4>P5>P1>P2,0,
MDA,Moldova,2004,2,35.2711,52.9450,46.0097,,24.2446,,0.3490,-0.0200,,0.7387,4378.1748,0.2113,4.0593,60.8082,,0.3962,0.3419,0.7387,0.7390,0.6081,0.5409,0.1113,1.1933,1.6915,1.6821,1.8580,1.5764,1.5524,0.1875,P4>P3>P5>P1>P2,1,EduIdx
IND,India,2004,2,47.5436,57.9546,51.6335,,40.0015,,0.7569,0.5550,0.4194,0.6844,2681.8612,3.1693,0.1105,48.2325,,0.4928,0.4256,0.5519,0.7598,0.4823,0.5402,0.1095,2.0567,2.6531,1.0607,1.7592,0.7291,1.7355,0.1295,P4>P3>P1>P5>P2,0,
COL,Colombia,2004,2,46.5020,47.8046,54.3524,,46.3594,,0.1696,0.2380,0.5872,0.8117,7909.3464,5.9281,0.4742,31.9398,,0.4875,0.3509,0.6995,0.7911,0.3194,0.5397,0.1081,2.0260,1.4735,2.1747,1.8602,0.1576,1.6551,0.2092,P4>P3>P1>P2>P5,0,
VCT,St. Vincent and the Grenadines,2004,2,55.6238,69.4125,55.6727,,52.0894,,0.1139,,0.6763,0.7761,8471.9625,0.0146,2.0341,81.8604,,0.5820,0.0170,0.7262,0.8081,0.8186,0.5385,0.1049,2.6685,0.5205,2.3169,2.3289,3.4483,2.3736,0.3342,P5>P4>P3>P1>P2,1,ECI
BRN,Brunei Darussalam,2004,2,59.2609,67.6539,67.3510,,52.0713,,0.0338,,0.6316,0.8400,80403.7579,30.6737,,84.6730,,0.6158,0.0044,0.7358,0.7537,0.8467,0.5376,0.1027,2.8788,0.0822,2.5977,2.5205,3.8818,2.5319,0.3382,P5>P4>P3>P1>P2,2,ECI; ODA
SAU,Saudi Arabia,2004,2,41.1105,55.5422,53.3879,,38.1761,,0.0532,0.6780,0.6056,0.8312,51225.3258,43.6225,0.0078,51.2380,,0.4705,0.3812,0.7184,0.6440,0.5124,0.5366,0.1001,1.8865,1.6403,2.4375,2.2244,0.8867,1.8642,0.1354,P3>P4>P5>P1>P2,0,
PHL,Philippines,2004,2,46.2802,48.0126,53.7636,,34.5330,,0.1069,0.2720,0.6137,0.7431,4037.1719,0.8759,0.4477,38.9138,,0.4565,0.3490,0.6784,0.7906,0.3891,0.5341,0.0933,1.7544,1.4052,1.9545,1.9966,0.2759,1.5634,0.1923,P4>P3>P1>P5>P2,0,
KEN,Kenya,2004,2,37.3109,44.4094,48.5824,,29.7440,,,-0.3140,0.4568,0.5838,2066.3154,4.1237,4.1115,49.8096,,0.4001,0.5770,0.5203,0.6733,0.4981,0.5328,0.0899,1.2580,1.5724,0.9116,1.1513,0.7685,1.1627,0.1008,P4>P2>P3>P5>P1,1,RD
PER,Peru,2004,2,36.4495,50.4393,55.9541,,39.5523,,0.1558,-0.4970,0.6362,0.7915,6037.5203,6.2346,0.7557,49.9134,,0.4560,0.2839,0.7138,0.7705,0.4991,0.5317,0.0871,1.7182,0.9771,2.2602,1.6714,0.8079,1.5560,0.1985,P4>P3>P5>P1>P2,0,
MAR,Morocco,2004,2,44.0066,53.3177,49.9128,,39.9939,,0.5659,-0.3620,0.3976,0.7426,5024.6943,0.5702,1.1910,59.3806,,0.4681,0.3283,0.5701,0.7915,0.5938,0.5308,0.0846,1.8772,1.7995,1.2662,2.0009,1.4581,1.7442,0.1707,P4>P5>P3>P1>P2,0,
LBY,Libya,2004,2,27.4925,37.5222,33.0822,,25.2597,,,-0.6340,0.6435,0.7878,23813.4012,55.8477,0.0509,65.6984,,0.3084,0.5196,0.7156,0.5612,0.6570,0.5281,0.0773,0.4952,1.2138,2.2849,1.9451,2.0296,1.4298,0.1568,P3>P5>P4>P2>P1,1,RD
SEN,Senegal,2004,2,39.1926,54.6071,48.7958,,44.7385,,,-0.3030,0.2315,0.6201,2236.2940,1.9716,10.6778,62.5118,,0.4683,0.5789,0.4258,0.5823,0.6251,0.5260,0.0717,1.8965,1.6276,0.5396,1.1210,1.7537,1.4801,0.0846,P5>P4>P2>P1>P3,1,RD
IRN,"Iran, Islamic Rep.",2004,2,38.3298,40.4753,35.3940,,34.7800,,0.5045,0.0470,0.6460,0.8006,14425.4170,27.2444,0.1006,54.5771,,0.3724,0.3602,0.7233,0.6863,0.5458,0.5196,0.0550,0.9716,1.9520,2.3885,1.9095,1.0640,1.5575,0.1699,P3>P4>P5>P1>P2,0,
EGY,"Egypt, Arab Rep.",2004,2,40.2182,54.8128,45.4684,,35.1085,,0.2699,0.0410,0.5129,0.7417,6207.1249,11.3771,1.9126,50.8491,,0.4390,0.3411,0.6273,0.7183,0.5085,0.5150,0.0427,1.5792,1.5821,1.4943,1.3778,0.8670,1.4276,0.1494,P4>P3>P5>P1>P2,0,
VNM,Viet Nam,2004,2,38.7044,44.2222,45.8065,,31.5615,,0.1927,-0.1780,0.5325,0.8163,3543.0992,11.7643,3.7194,65.7869,,0.4007,0.3154,0.6744,0.6567,0.6579,0.5110,0.0322,1.2377,1.2799,2.0452,1.0744,2.0690,1.4859,0.1699,P3>P5>P4>P1>P2,0,
KAZ,Kazakhstan,2004,2,33.3415,40.3586,41.6348,,24.3525,,0.2484,-0.0550,0.7438,0.6929,11777.1120,28.2541,0.6738,64.3799,,0.3492,0.3308,0.7184,0.6595,0.6438,0.5100,0.0293,0.7512,1.4447,2.2239,1.6257,1.9310,1.4620,0.1851,P3>P4>P5>P1>P2,0,
NPL,Nepal,2004,2,37.3913,42.3775,45.3143,,29.1610,,,-0.3070,0.3574,0.6884,1542.4495,0.9017,5.9255,29.8238,,0.3856,0.5782,0.5229,0.6495,0.2982,0.5053,0.0168,1.0727,1.6000,0.9286,1.2712,0.1379,1.0296,0.1431,P4>P2>P3>P1>P5,1,RD
PRY,Paraguay,2004,2,29.9103,43.0109,43.0487,,19.9724,,0.0607,-1.0350,0.5947,0.7854,7685.6581,1.6492,0.4142,59.0742,,0.3399,0.2281,0.6901,0.8192,0.5907,0.5029,0.0106,0.6700,0.5917,2.0056,2.1351,1.4384,1.2946,0.2450,P4>P3>P5>P1>P2,0,
ECU,Ecuador,2004,2,33.6160,45.3019,42.2847,,32.1469,,0.0601,-0.8020,0.6216,0.8287,6980.0913,12.5726,0.5524,50.2157,,0.3834,0.2490,0.7251,0.7391,0.5022,0.5011,0.0059,1.0303,0.6883,2.4899,1.5505,0.8276,1.2945,0.2136,P4>P3>P5>P1>P2,0,
VEN,"Venezuela, RB",2004,2,29.2964,35.4984,37.4324,,27.6281,,0.1891,0.4450,0.5879,0.8116,14757.1085,23.8297,0.0428,44.1464,,0.3246,0.3710,0.6997,0.7112,0.4415,0.5002,0.0035,0.5819,1.6111,2.1757,1.9836,0.4532,1.2569,0.1836,P4>P3>P5>P2>P1,0,
GTM,Guatemala,2004,2,34.0418,41.5842,49.1243,,35.8246,,0.0356,-0.0710,0.3881,0.7422,5263.4465,1.4563,1.0079,49.8931,,0.4014,0.3126,0.5652,0.7911,0.4989,0.4996,0.0019,1.2495,0.9925,1.2334,1.9050,0.7882,1.2782,0.1822,P4>P3>P5>P1>P2,0,
MNG,Mongolia,2004,2,43.1962,59.2428,49.2799,,41.5183,,0.2678,-1.0570,0.6423,0.6822,4941.8266,14.9665,11.0795,74.6715,,0.4831,0.2425,0.6623,0.5299,0.7467,0.4945,-0.0118,1.9908,0.9408,1.8018,0.8945,2.7389,1.7234,0.1932,P5>P3>P4>P1>P2,0,
BGD,Bangladesh,2004,2,33.7231,39.1175,37.2412,,17.1749,,,-0.8780,0.3874,0.6910,1861.5126,1.2503,2.0924,43.1999,,0.3181,0.4758,0.5392,0.7207,0.4320,0.4937,-0.0140,0.5555,0.9379,1.0159,1.4402,0.3941,0.8432,0.1488,P4>P3>P2>P5>P1,1,RD
BEN,Benin,2004,2,42.6625,50.3164,45.2739,,37.5437,,,-1.3780,0.3155,0.5746,1915.3464,3.1254,6.3672,68.9151,,0.4395,0.3861,0.4451,0.6385,0.6892,0.4920,-0.0184,1.5662,0.4966,0.5860,1.1209,2.2857,1.2906,0.1348,P5>P4>P3>P1>P2,1,RD
KGZ,Kyrgyz Republic,2004,2,40.5249,46.0945,50.2289,,25.1692,,0.1993,0.0670,0.6853,0.7023,2343.4304,3.4153,9.7995,46.7435,,0.4050,0.3379,0.6938,0.5897,0.4674,0.4892,-0.0259,1.3678,1.4453,2.0831,1.0470,0.6897,1.3349,0.1431,P3>P4>P5>P1>P2,0,
DZA,Algeria,2004,2,38.1033,46.1178,45.2559,,30.8715,,0.1519,-0.5090,0.5434,0.8082,11431.6857,26.1573,0.3586,43.5847,,0.4009,0.2825,0.6758,0.6772,0.4358,0.4850,-0.0369,1.2362,0.9496,1.9868,1.7182,0.4138,1.2905,0.1756,P4>P3>P5>P1>P2,0,
MLI,Mali,2004,2,31.8922,50.7029,47.1379,,36.9535,,,-0.9270,0.1994,0.5116,1730.0923,3.8956,8.4607,71.4788,,0.4167,0.4670,0.3555,0.5932,0.7148,0.4821,-0.0445,1.3955,0.9103,0.2390,0.9730,2.4631,1.2380,0.1443,P5>P4>P2>P1>P3,1,RD
BOL,Bolivia,2004,2,40.5573,47.4023,52.3559,,35.2056,,0.2766,-1.1310,0.6500,0.6741,4662.9708,7.4300,8.4239,55.6214,,0.4388,0.2365,0.6621,0.6214,0.5562,0.4811,-0.0472,1.6038,0.9612,1.8173,1.1246,1.1429,1.3880,0.1712,P3>P4>P5>P1>P2,0,
TGO,Togo,2004,2,21.1697,39.0071,35.5897,,29.1762,,,-0.8770,0.3878,0.5476,1427.0023,6.3103,2.0633,54.3251,,0.3124,0.4760,0.4677,0.6738,0.5433,0.4797,-0.0510,0.5202,0.9655,0.6580,1.0006,1.0246,0.7910,0.1311,P4>P5>P2>P3>P1,1,RD
AZE,Azerbaijan,2004,2,30.5541,44.1217,45.0564,,22.6420,,0.2983,-0.3260,0.6709,0.7306,5247.5383,28.7444,2.1529,46.6803,,0.3559,0.3105,0.7007,0.5899,0.4668,0.4714,-0.0730,0.8206,1.4162,2.1312,1.1062,0.6700,1.1609,0.1620,P3>P4>P5>P1>P2,0,
HND,Honduras,2004,2,36.8496,42.8684,45.9841,,27.8175,,0.0415,-0.6500,0.4299,0.7546,3001.2967,1.1707,6.4127,55.3012,,0.3838,0.2611,0.5923,0.6739,0.5530,0.4698,-0.0774,1.0576,0.7164,1.4090,1.4627,1.0837,1.1584,0.1672,P4>P3>P5>P1>P2,0,
CMR,Cameroon,2004,2,30.9469,39.9461,42.1338,,24.4523,,,-1.2560,0.3488,0.5320,2532.6474,4.7318,4.2379,56.3882,,0.3437,0.4080,0.4404,0.6777,0.5639,0.4679,-0.0823,0.7312,0.5793,0.5481,1.1596,1.2020,0.8475,0.1334,P4>P5>P3>P2>P1,1,RD
TZA,Tanzania,2004,2,37.4621,48.2387,46.5619,,35.6096,,,-1.1360,0.3601,0.5667,1482.1621,5.3543,10.7681,54.4393,,0.4197,0.4295,0.4634,0.5370,0.5444,0.4668,-0.0852,1.4166,0.6345,0.6322,0.7647,1.0443,0.9980,0.0589,P5>P4>P3>P2>P1,1,RD
ZWE,Zimbabwe,2004,2,32.5334,27.0136,26.4281,,19.3793,,,-0.4220,0.5229,0.4007,2591.0201,8.4373,4.7045,39.5372,,0.2634,0.5576,0.4618,0.6464,0.3954,0.4664,-0.0863,0.3011,1.4345,0.6974,0.9807,0.3153,0.6757,0.1475,P4>P2>P3>P5>P1,1,RD
MRT,Mauritania,2004,2,40.0786,41.6443,48.5750,,36.2976,,,-1.5900,0.3028,0.6672,2570.2940,8.8601,8.0218,60.5457,,0.4165,0.3480,0.4850,0.5878,0.6055,0.4662,-0.0867,1.3950,0.2483,0.7675,0.8815,1.5567,1.0597,0.1101,P5>P4>P3>P1>P2,1,RD
TKM,Turkmenistan,2004,2,22.4174,36.5075,25.6044,,21.8424,,,-1.4690,,0.7085,4798.1532,44.1006,0.8028,61.3197,,0.2659,0.3698,0.7085,0.5054,0.6132,0.4630,-0.0953,0.2891,0.3862,1.5385,1.1523,1.6749,0.9008,0.1787,P3>P5>P4>P2>P1,2,EduIdx; RD
GHA,Ghana,2004,2,43.6353,53.7090,47.0763,,40.9916,,,-1.4020,0.3906,0.6049,2729.3445,12.3974,16.3420,63.8830,,0.4635,0.3818,0.4978,0.4287,0.6388,0.4605,-0.1020,1.8113,0.4690,0.7934,0.6644,1.8916,1.2487,0.0976,P5>P3>P1>P4>P2,1,RD
UZB,Uzbekistan,2004,2,24.9438,38.4558,29.0209,,22.6834,,0.2704,-0.5520,0.6615,0.7262,3321.1965,18.7849,2.0294,43.9341,,0.2878,0.2880,0.6938,0.6348,0.4393,0.4536,-0.1203,0.3692,1.2509,2.0881,1.0504,0.4335,0.9267,0.1901,P3>P4>P5>P2>P1,0,
PAK,Pakistan,2004,2,38.5568,39.7311,38.8519,,25.8337,,0.3295,-0.4400,0.2876,0.6630,3048.3571,2.4490,1.0211,39.3182,,0.3574,0.3027,0.4753,0.7560,0.3932,0.4506,-0.1282,0.8870,1.4021,0.7018,1.6258,0.2956,0.9966,0.1786,P4>P3>P5>P1>P2,0,
MWI,Malawi,2004,2,32.3202,52.0063,43.6591,,31.8909,,,-1.4420,0.4115,0.4780,1032.8021,6.3921,10.1223,63.5077,,0.3997,0.3746,0.4447,0.5223,0.6351,0.4505,-0.1286,1.1984,0.4138,0.5206,0.6773,1.8719,0.9878,0.1055,P5>P4>P3>P1>P2,1,RD
CIV,Cote d'Ivoire,2004,2,19.9017,32.0231,36.2464,,24.2136,,,-1.0310,0.3117,0.4914,2794.1733,2.4932,1.0867,28.2039,,0.2810,0.4483,0.4015,0.7502,0.2820,0.4409,-0.1541,0.3363,0.8000,0.3480,1.5768,0.0985,0.6211,0.1922,P4>P2>P3>P5>P1,1,RD
NIC,Nicaragua,2004,2,30.5668,47.3846,51.0172,,36.6116,,0.0349,-1.0490,0.5397,0.7617,3255.4852,1.2919,19.7273,58.1918,,0.4140,0.2248,0.6507,0.4554,0.5819,0.4391,-0.1588,1.3727,0.4409,1.6883,1.2420,1.3793,1.2721,0.1647,P3>P5>P4>P1>P2,0,
TJK,Tajikistan,2004,2,28.1022,41.0767,38.4640,,20.9374,,0.0670,-0.7910,0.6544,0.7170,1550.0720,0.6702,11.3402,46.1349,,0.3215,0.2505,0.6857,0.5610,0.4613,0.4385,-0.1604,0.5447,0.7432,2.0666,1.1806,0.6305,0.9643,0.1762,P3>P4>P5>P1>P2,0,
HTI,Haiti,2004,2,14.4282,28.3810,30.8462,,19.5698,,,-1.3560,0.4194,0.5926,2322.1979,0.4151,4.6101,34.0065,,0.2331,0.3900,0.5060,0.6958,0.3401,0.4301,-0.1826,0.1504,0.5241,0.8350,1.5632,0.1773,0.6044,0.1767,P4>P3>P2>P5>P1,1,RD
BFA,Burkina Faso,2004,2,36.1048,47.9302,44.8921,,41.9445,,0.2151,-1.1010,,0.5015,1079.0001,5.4373,11.9747,63.3329,,0.4272,0.2344,0.5015,0.5000,0.6333,0.4290,-0.1855,1.4316,0.7832,0.3487,0.6840,1.8128,1.0869,0.1461,P5>P3>P4>P1>P2,1,EduIdx
PNG,Papua New Guinea,2004,2,41.0247,49.3900,43.6301,,25.5475,,,-1.5360,0.3122,0.6430,2186.5401,28.7908,7.3659,52.7085,,0.3990,0.3577,0.4776,0.4576,0.5271,0.4289,-0.1858,1.2596,0.2759,0.7388,0.5922,0.9655,0.8608,0.0665,P5>P3>P4>P1>P2,1,RD
NER,Niger,2004,2,35.0959,45.3102,40.4787,,30.0008,,,-0.7730,0.1361,0.4985,832.1252,7.5076,13.7459,57.6061,,0.3772,0.4946,0.3173,0.4433,0.5761,0.4277,-0.1891,0.9999,1.1034,0.1754,0.5563,1.3202,0.8560,0.1006,P5>P2>P4>P1>P3,1,RD
KHM,Cambodia,2004,2,30.6119,35.7429,48.4279,,27.5042,,0.0474,-1.5110,0.4221,0.6655,1769.7624,3.2041,7.1795,53.1828,,0.3557,0.1844,0.5438,0.6203,0.5318,0.4210,-0.2067,0.8946,0.3025,1.0058,1.0624,0.9852,0.8806,0.1760,P4>P3>P5>P1>P2,0,
AGO,Angola,2004,2,21.5584,31.9420,32.3238,,23.1021,,,-0.7880,0.3009,0.4788,4770.6880,33.7707,4.6699,46.0945,,0.2723,0.4919,0.3899,0.5095,0.4609,0.4170,-0.2173,0.2909,1.0483,0.2993,0.9100,0.6108,0.5838,0.0968,P4>P2>P5>P3>P1,1,RD
