iso3,country,year,GII
SVN,Slovenia,2012,49.9
SWE,Sweden,2012,64.8
SWZ,Swaziland - Eswatini,2012,32.0
SYR,Syrian Arab Republic,2012,23.1
TGO,Togo,2012,20.5
THA,Thailand,2012,36.9
TJK,Tajikistan,2012,26.4
TTO,Trinidad and Tobago,2012,32.5
TUN,Tunisia,2012,36.5
TUR,Turkey,2012,34.1
TZA,United Republic of Tanzania (the),2012,23.9
UGA,Uganda,2012,25.6
UKR,Ukraine,2012,36.1
URY,Uruguay,2012,35.1
USA,United States of America,2012,57.7
UZB,Uzbekistan,2012,23.9
VEN,"Venezuela, Bolivarian Republic of",2012,25.4
VNM,Vietnam,2012,33.9
YEM,Yemen,2012,19.2
ZAF,South Africa,2012,37.4
ZMB,Zambia,2012,26.4
ZWE,Zimbabwe,2012,25.7
ALB,Albania,2018,30.0
ARE,United Arab Emirates,2018,42.6
ARG,Argentina,2018,30.7
ARM,Armenia,2018,32.8
AUS,Australia,2018,52.0
AUT,Austria,2018,51.3
AZE,Azerbaijan,2018,30.2
BEL,Belgium,2018,50.5
BEN,Benin,2018,20.6
BFA,Burkina Faso,2018,18.9
BGD,Bangladesh,2018,23.1
BGR,Bulgaria,2018,42.6
BHR,Bahrain,2018,31.7
BIH,Bosnia and Herzegovina,2018,31.1
BLR,Belarus,2018,29.4
BOL,Bolivia (Plurinational State of),2018,22.9
BRA,Brazil,2018,33.4
BRN,Brunei Darussalam,2018,32.8
BWA,Botswana,2018,28.2
CAN,Canada,2018,53.0
CHE,Switzerland,2018,68.4
CHL,Chile,2018,37.8
CHN,China,2018,53.1
CIV,Cote dIvoire,2018,20.0
CMR,Cameroon,2018,23.8
COL,Colombia,2018,33.8
CRI,Costa Rica,2018,35.7
CYP,Cyprus,2018,47.8
CZE,Czech Republic,2018,48.7
DEU,Germany,2018,58.0
DNK,Denmark,2018,58.4
DOM,Dominican Republic,2018,29.3
DZA,Algeria,2018,23.9
ECU,Ecuador,2018,26.8
EGY,Egypt,2018,27.2
ESP,Spain,2018,48.7
EST,Estonia,2018,50.5
FIN,Finland,2018,59.6
FRA,France,2018,54.4
GBR,United Kingdom,2018,60.1
GEO,Georgia,2018,35.0
GHA,Ghana,2018,24.5
GIN,Guinea,2018,20.7
GRC,Greece,2018,38.9
GTM,Guatemala,2018,25.5
HKG,Hong Kong (China),2018,54.6
HND,Honduras,2018,24.9
HRV,Croatia,2018,40.7
HUN,Hungary,2018,44.9
IDN,Indonesia,2018,29.8
IND,India,2018,35.2
IRL,Ireland,2018,57.2
IRN,Iran (Islamic Republic of),2018,33.4
ISL,Iceland,2018,51.2
ISR,Israel,2018,56.8
ITA,Italy,2018,46.3
